Phone,IMEI,IMSI,Tower_ID,Date_Time,MCC,MNC,LAC,CellID
9812725346,359881568277601,404450143370930,TWR004,2026-04-20 12:07:00,404,10,10004,104
9817602763,359881914867728,404450918608235,TWR004,2026-04-20 12:01:00,404,10,10004,104
9819909406,359881938439415,404450853647889,TWR004,2026-04-20 11:58:00,404,10,10004,104
9817623761,359881507026858,404450993501668,TWR004,2026-04-20 11:55:00,404,10,10004,104
9816099824,359881866032850,404450938278404,TWR004,2026-04-20 11:50:00,404,10,10004,104
9811595711,359881173405546,404450746727406,TWR004,2026-04-20 11:46:00,404,10,10004,104
9814603572,359881801684124,404450336060077,TWR004,2026-04-20 11:58:00,404,10,10004,104
9815993314,359881803079006,404450141688538,TWR004,2026-04-20 12:05:00,404,10,10004,104
9814882320,359881503634722,404450746293978,TWR004,2026-04-20 12:00:00,404,10,10004,104
9816216430,359881650753141,404450456885237,TWR004,2026-04-20 11:57:00,404,10,10004,104
9814880593,359881957638544,404450118809070,TWR004,2026-04-20 12:04:00,404,10,10004,104
9813284640,359881565027882,404450862544989,TWR004,2026-04-20 11:52:00,404,10,10004,104
9813338246,359881222193601,404450556825750,TWR004,2026-04-20 12:03:00,404,10,10004,104
9816686829,359881175768947,404450814098903,TWR004,2026-04-20 11:57:00,404,10,10004,104
9814631018,359881738688082,404450964830117,TWR004,2026-04-20 11:58:00,404,10,10004,104
9812164973,359881765998829,404450922508257,TWR004,2026-04-20 12:10:00,404,10,10004,104
9814626898,359881760584267,404450760206146,TWR004,2026-04-20 11:47:00,404,10,10004,104
9818528348,359881428159904,404450108669911,TWR004,2026-04-20 12:01:00,404,10,10004,104
9813052817,359881967636380,404450838003630,TWR004,2026-04-20 12:03:00,404,10,10004,104
9819294882,359881119981688,404450254660948,TWR004,2026-04-20 12:05:00,404,10,10004,104
9814969556,359881565637798,404450477374829,TWR004,2026-04-20 11:51:00,404,10,10004,104
9816368744,359881127325477,404450123773239,TWR004,2026-04-20 12:02:00,404,10,10004,104
9818191782,359881884758204,404450395531283,TWR004,2026-04-20 11:59:00,404,10,10004,104
9815645665,359881392742403,404450408743173,TWR004,2026-04-20 11:58:00,404,10,10004,104
9812911830,359881182112918,404450638597475,TWR004,2026-04-20 12:03:00,404,10,10004,104
9815342234,359881315293992,404450316765314,TWR004,2026-04-20 11:53:00,404,10,10004,104
9816162297,359881108027176,404450586672225,TWR004,2026-04-20 11:59:00,404,10,10004,104
9814748050,359881785538463,404450489708477,TWR004,2026-04-20 11:56:00,404,10,10004,104
9815627389,359881705180831,404450888314976,TWR004,2026-04-20 11:54:00,404,10,10004,104
9814595903,359881453597313,404450134813895,TWR004,2026-04-20 11:47:00,404,10,10004,104
9816309197,359881896697197,404450838177328,TWR004,2026-04-20 11:46:00,404,10,10004,104
9815257683,359881349526370,404450152005824,TWR004,2026-04-20 12:11:00,404,10,10004,104
9818868205,359881563110146,404450220302036,TWR004,2026-04-20 12:09:00,404,10,10004,104
9817862717,359881701133856,404450446962105,TWR004,2026-04-20 11:45:00,404,10,10004,104
9813526300,359881728821680,404450452350671,TWR004,2026-04-20 12:14:00,404,10,10004,104
9811244166,359881842227084,404450849431747,TWR004,2026-04-20 12:12:00,404,10,10004,104
9819644362,359881428863376,404450255817552,TWR004,2026-04-20 12:10:00,404,10,10004,104
9818154093,359881440942811,404450924015901,TWR004,2026-04-20 11:50:00,404,10,10004,104
9816596783,359881659814948,404450206314878,TWR004,2026-04-20 12:14:00,404,10,10004,104
9818607013,359881222091667,404450413743999,TWR004,2026-04-20 11:54:00,404,10,10004,104
9816113156,359881415236776,404450664330076,TWR004,2026-04-20 11:50:00,404,10,10004,104
9814991753,359881702992422,404450241731054,TWR004,2026-04-20 11:56:00,404,10,10004,104
9818965689,359881386496445,404450972575870,TWR004,2026-04-20 12:06:00,404,10,10004,104
9812533159,359881767066406,404450816896288,TWR004,2026-04-20 12:13:00,404,10,10004,104
9816500280,359881219124951,404450673700475,TWR004,2026-04-20 11:50:00,404,10,10004,104
9817905751,359881157565924,404450470820505,TWR004,2026-04-20 12:00:00,404,10,10004,104
9815368605,359881521093056,404450500568007,TWR004,2026-04-20 12:09:00,404,10,10004,104
9811253426,359881438330730,404450504020389,TWR004,2026-04-20 11:48:00,404,10,10004,104
9811823388,359881774452744,404450352810280,TWR004,2026-04-20 12:00:00,404,10,10004,104
9811352810,359881898162866,404450810242934,TWR004,2026-04-20 12:15:00,404,10,10004,104
9810000001,359881000000001,404450000000001,TWR004,2026-04-20 12:01:00,404,10,10004,104
9810000002,359881000000002,404450000000002,TWR004,2026-04-20 11:59:00,404,10,10004,104
