Phone,IMEI,IMSI,Tower_ID,Date_Time,MCC,MNC,LAC,CellID
9819293013,359881350347408,404450298387261,TWR002,2026-04-20 10:57:00,404,10,10002,102
9815077844,359881275003230,404450704960674,TWR002,2026-04-20 11:00:00,404,10,10002,102
9818821473,359881893007431,404450735856748,TWR002,2026-04-20 10:57:00,404,10,10002,102
9818553275,359881654465006,404450338254819,TWR002,2026-04-20 10:55:00,404,10,10002,102
9817967519,359881109399065,404450736940540,TWR002,2026-04-20 10:59:00,404,10,10002,102
9812168226,359881692205416,404450666303034,TWR002,2026-04-20 11:02:00,404,10,10002,102
9812103594,359881556806833,404450295209880,TWR002,2026-04-20 11:02:00,404,10,10002,102
9816998034,359881563295990,404450179195988,TWR002,2026-04-20 10:49:00,404,10,10002,102
9817484695,359881811831483,404450625907895,TWR002,2026-04-20 10:46:00,404,10,10002,102
9819717533,359881109691121,404450229881739,TWR002,2026-04-20 11:04:00,404,10,10002,102
9812481069,359881651261579,404450230449794,TWR002,2026-04-20 11:14:00,404,10,10002,102
9818478014,359881712367102,404450590350615,TWR002,2026-04-20 10:48:00,404,10,10002,102
9818080620,359881877111253,404450316992214,TWR002,2026-04-20 10:57:00,404,10,10002,102
9818542832,359881641619712,404450384229207,TWR002,2026-04-20 10:47:00,404,10,10002,102
9819209255,359881688413975,404450363289403,TWR002,2026-04-20 10:50:00,404,10,10002,102
9816112379,359881559271954,404450722290352,TWR002,2026-04-20 11:00:00,404,10,10002,102
9818464747,359881534665347,404450819317892,TWR002,2026-04-20 10:49:00,404,10,10002,102
9814748695,359881504900465,404450660620620,TWR002,2026-04-20 10:45:00,404,10,10002,102
9816980652,359881575041989,404450606488549,TWR002,2026-04-20 11:00:00,404,10,10002,102
9813709601,359881670893297,404450816238084,TWR002,2026-04-20 11:06:00,404,10,10002,102
9814852346,359881626120741,404450776670329,TWR002,2026-04-20 11:08:00,404,10,10002,102
9816924531,359881377826223,404450866333006,TWR002,2026-04-20 11:14:00,404,10,10002,102
9817121781,359881535026348,404450502326442,TWR002,2026-04-20 11:02:00,404,10,10002,102
9813234959,359881951415200,404450195904794,TWR002,2026-04-20 10:45:00,404,10,10002,102
9817534962,359881521035256,404450437700988,TWR002,2026-04-20 10:54:00,404,10,10002,102
9812868555,359881513574487,404450992252956,TWR002,2026-04-20 11:03:00,404,10,10002,102
9817941097,359881930882106,404450691378605,TWR002,2026-04-20 10:49:00,404,10,10002,102
9813611143,359881919141125,404450425330256,TWR002,2026-04-20 11:14:00,404,10,10002,102
9819075683,359881113012293,404450173332945,TWR002,2026-04-20 10:54:00,404,10,10002,102
9815823774,359881603436632,404450647835131,TWR002,2026-04-20 11:03:00,404,10,10002,102
9813267514,359881451357414,404450862819762,TWR002,2026-04-20 11:04:00,404,10,10002,102
9811370052,359881931264397,404450455651484,TWR002,2026-04-20 11:06:00,404,10,10002,102
9815312173,359881963230280,404450412861474,TWR002,2026-04-20 10:57:00,404,10,10002,102
9811670236,359881957847311,404450836705086,TWR002,2026-04-20 11:09:00,404,10,10002,102
9813547899,359881897144301,404450224629803,TWR002,2026-04-20 10:56:00,404,10,10002,102
9811444712,359881638018912,404450324024718,TWR002,2026-04-20 10:58:00,404,10,10002,102
9819253602,359881475116120,404450263680939,TWR002,2026-04-20 10:54:00,404,10,10002,102
9812277094,359881816000403,404450496934025,TWR002,2026-04-20 10:47:00,404,10,10002,102
9812506877,359881839069085,404450630065588,TWR002,2026-04-20 10:52:00,404,10,10002,102
9815369671,359881660147370,404450527610054,TWR002,2026-04-20 11:15:00,404,10,10002,102
9812764404,359881596342740,404450104002196,TWR002,2026-04-20 10:54:00,404,10,10002,102
9817211004,359881685381565,404450553752473,TWR002,2026-04-20 11:12:00,404,10,10002,102
9813279170,359881873567122,404450604744283,TWR002,2026-04-20 10:55:00,404,10,10002,102
9819406647,359881241121352,404450590933007,TWR002,2026-04-20 10:47:00,404,10,10002,102
9816905112,359881962425382,404450805380223,TWR002,2026-04-20 10:53:00,404,10,10002,102
9819094885,359881762497265,404450158561163,TWR002,2026-04-20 11:00:00,404,10,10002,102
9813344070,359881516536693,404450652880688,TWR002,2026-04-20 11:01:00,404,10,10002,102
9818126542,359881962896824,404450405275190,TWR002,2026-04-20 10:49:00,404,10,10002,102
9812140958,359881192984341,404450455372871,TWR002,2026-04-20 11:02:00,404,10,10002,102
9813998503,359881937517975,404450929662191,TWR002,2026-04-20 10:47:00,404,10,10002,102
9810000001,359881000000001,404450000000001,TWR002,2026-04-20 10:58:00,404,10,10002,102
9810000002,359881000000002,404450000000002,TWR002,2026-04-20 11:01:00,404,10,10002,102
